"uniprot","symbol","degree"
"Q7Z3Y9","KRT26",22
"P19474","TRIM21",22
"Q15311","RALBP1",22
"Q9NQZ8","ZNF71",22
"Q96G42","KLHDC7B",22
"B2RUY7","VWC2L",22
"Q9BXJ8","TMEM120A",22
"Q9BY50","SEC11C",22
"Q9Y4B4","RAD54L2",22
"O60664","PLIN3",22
"Q16348","SLC15A2",22
"Q6NZ36","FAAP20",22
"P17023","ZNF19",22
"P34972","CNR2",22
"Q8IYX3","CCDC116",22
"Q8TDR4","TCP10L",22
"Q9BUF7","CRB3",22
"P02808","STATH",22
"P07204","THBD",22
"Q8N9Q2","SREK1IP1",22
"O75909","CCNK",22
"Q9P0N8","MARCHF2",22
"Q9HBI0","PARVG",22
"Q5T7P8","SYT6",22
"P40937","RFC5",22
"Q71SY5","MED25",22
"Q5TAP6","UTP14C",22
"Q8NI60","COQ8A",22
"P23142","FBLN1",22
"Q6UX34","SNORC",22
"Q99726","SLC30A3",22
"Q86YV0","RASAL3",21
"P51116","FXR2",21
"P52954","LBX1",21
"P0C7T5","ATXN1L",21
"Q969V4","TEKT1",21
"Q9C0F1","CEP44",21
"P42681","TXK",21
"A6NK89","RASSF10",21
"Q9ULR0","ISY1",21
"P10074","ZBTB48",21
"Q9BZR9","TRIM8",21
"O43679","LDB2",21
"Q8WUK0","PTPMT1",21
"Q9UHV2","SERTAD1",21
"Q8NFV4","ABHD11",21
"Q5VVQ6","YOD1",21
"Q96EF6","FBXO17",21
"Q15642","TRIP10",21
"Q5T124","UBXN11",21
"Q8WY64","MYLIP",21
"Q9BUN8","DERL1",21
"Q03014","HHEX",21
"Q96GM1","PLPPR2",21
"Q7Z4F1","LRP10",21
"P67870","CSNK2B",21
"Q96LM5","C4orf45",21
"Q8N2U9","SLC66A2",21
"Q86UY5","FAM83A",21
"Q6P2D0","ZFP1",21
"Q96HR8","NAF1",21
"O95257","GADD45G",21
"P38936","CDKN1A",21
"P06753","TPM3",21
"A8MTA8","FAM166B",21
"Q8N443","RIBC1",21
"Q8N8X9","MAB21L3",21
"Q96TC7","RMDN3",21
"P19013",NA,21
"Q9H1P6","C20orf85",21
"P56557","TMEM50B",21
"Q6QNY1","BLOC1S2",21
"Q5RL73","RBM48",21
"Q99687","MEIS3",21
"Q8N743",NA,21
"Q01628","IFITM3",21
"O43315","AQP9",21
"Q96LJ7","DHRS1",21
"Q99437","ATP6V0B",21
"P38919","EIF4A3",21
"Q8NBI2","CYB561A3",21
"Q9BRQ3","NUDT22",21
"Q9NQG6","MIEF1",21
"Q9BTX3","TMEM208",21
"Q8NDC4","MORN4",21
"P62837","UBE2D2",21
"Q8N0V3","RBFA",21
"P09211","GSTP1",21
"P63027","VAMP2",21
"P60014","KRTAP10-10",21
"Q8N3F0","MTURN",21
"O43593","HR",21
"Q9BWQ6","YIPF2",21
"P57105","SYNJ2BP",21
"Q14533","KRT81",20
"Q16825","PTPN21",20
"Q9Y4K3","TRAF6",20
"Q8HWS3","RFX6",20
"Q59EK9","RUNDC3A",20
"Q68DK2","ZFYVE26",20
"Q9UJC3","HOOK1",20
"P52747","ZNF143",20
"Q4VC12","MSS51",20
"Q3MJ62","ZSCAN23",20
"Q969Y2","GTPBP3",20
"Q9BXJ5","C1QTNF2",20
"Q9NZQ3","NCKIPSD",20
"P32969","RPL9",20
"Q8WTS1","ABHD5",20
"P60508","ERVFRD-1",20
"Q3KP44","ANKRD55",20
"Q9NVL1",NA,20
"Q8IXW0","LMNTD2",20
"Q00994","BEX3",20
"Q6P1L6","ZNF343",20
"Q8N5G2","MACO1",20
"Q9NVF7","FBXO28",20
"P12314","FCGR1A",20
"Q8NC24","RELL2",20
"Q96MX3","ZNF48",20
"Q5JXC2","MIIP",20
"Q9Y5Y7","LYVE1",20
"Q9NX47","MARCHF5",20
"Q6X4W1","NSMF",20
"Q9Y5A6","ZSCAN21",20
"Q9NUJ3","TCP11L1",20
"Q96D05","FAM241B",20
"Q9Y3B7","MRPL11",20
"Q8TBZ8","ZNF564",20
"P53672","CRYBA2",20
"P04259","KRT6B",20
"O43395","PRPF3",20
"Q00013","MPP1",20
"P02786","TFRC",20
"P02787","TF",20
"O95674","CDS2",20
"O75382","TRIM3",19
"O43829","ZBTB14",19
"Q10567","AP1B1",19
"Q16637","SMN1",19
"Q13287","NMI",19
"Q8N112","LSMEM2",19
"Q99961","SH3GL1",19
"Q68G74","LHX8",19
"Q96CV9","OPTN",19
"O95198","KLHL2",19
"Q9H596","DUSP21",19
"Q6NZI2","CAVIN1",19
"Q96HT8","MRFAP1L1",19
"P13994","YJU2B",19
"Q9UL45","BLOC1S6",19
"Q07817","BCL2L1",19
"Q9UPQ8","DOLK",19
"Q9BXU0","TEX12",19
"Q8WYJ6","SEPTIN1",19
"Q9BZJ8","GPR61",19
"Q6IPU0","CENPP",19
"Q96PF1","TGM7",19
"Q9NYZ1","TVP23B",19
"Q16082","HSPB2",19
"Q9H9P5","UNKL",19
"P0CG21","NHLRC4",19
"Q14657","LAGE3",19
"P51946","CCNH",19
"P48668","KRT6C",19
"O95859","TSPAN12",19
"Q86WB7","UNC93A",19
"Q9NTX9","FAM217B",19
"Q5RI15","COX20",19
"Q96M91","CFAP53",19
"Q9BQ51","PDCD1LG2",19
"P25942","CD40",19
"O95484","CLDN9",19
"Q9BUP3","HTATIP2",19
"Q15546","MMD",19
"Q9NQG1","MANBAL",19
"Q8IY57","YAF2",19
"P01350","GAST",19
"P56851","EDDM3B",19
"Q8N6W0","CELF5",19
"P01137","TGFB1",19
"Q15040","JOSD1",19
"Q9ULM2","ZNF490",19
"Q6KB66","KRT80",19
"Q9Y5R4","HEMK1",19
"Q5SNT2","TMEM201",19
"Q86Z23","C1QL4",19
"Q14162","SCARF1",19
"Q96PS8","AQP10",19
"Q14416","GRM2",19
"Q9UL42","PNMA2",18
"Q9C029","TRIM7",18
"Q96GF1","RNF185",18
"P84103","SRSF3",18
"O14492","SH2B2",18
"Q8NC69","KCTD6",18
"P43356","MAGEA2",18
"Q9BPX1","HSD17B14",18
"Q13351","KLF1",18
"Q14140","SERTAD2",18
"Q68CJ9","CREB3L3",18
"Q92838","EDA",18
"Q96C24","SYTL4",18
"Q9UIA0","CYTH4",18
"Q5HYN5","CT45A1",18
"Q02446","SP4",18
"Q8N0S2","SYCE1",18
"Q9H503","BANF2",18
"Q5T7W7","TSTD2",18
"Q9NZN8","CNOT2",18
"P05813","CRYBA1",18
"Q15691","MAPRE1",18
"Q9UDW3","ZMAT5",18
"Q86UV6","TRIM74",18
"Q7L190","DPPA4",18
"Q15293","RCN1",18
"Q86SG2","ANKRD23",18
"Q96NM4","TOX2",18
"Q96CS2","HAUS1",18
"B3EWG5","FAM25A",18
"Q12774","ARHGEF5",18
"P48059","LIMS1",18
"Q96MX0","CMTM3",18
"Q8N9I5","FADS6",18
"Q9P0N9","TBC1D7",18
"Q96BR6","ZNF669",18
"Q96NC0","ZMAT2",18
"Q6IQ23","PLEKHA7",18
"Q9NQG5","RPRD1B",18
"Q9NWN3","FBXO34",18
"Q9P2M1","LRP2BP",18
"Q96P66","GPR101",18
"Q86W67","FAM228A",18
"Q96T49","PPP1R16B",18
"Q99959","PKP2",18
"Q7RTY0","SLC16A13",18
"Q2M2E3","ODF4",18
"Q96IZ5","RBM41",18
"P28482","MAPK1",18
"P0DI81","TRAPPC2",18
"Q9UEG4","ZNF629",18
"Q00526","CDK3",18
"P13236","CCL4",18
"Q9P2F9","ZNF319",18
"Q3SY84","KRT71",18
"Q969U6","FBXW5",18
"Q96C55","ZNF524",18
"Q969Z0","TBRG4",18
"Q9UK33","ZNF580",18
"O15371","EIF3D",18
"O94888","UBXN7",18
"Q96NU1","SAMD11",18
"Q9NRE2","TSHZ2",18
"O43752","STX6",18
"Q53FV1","ORMDL2",18
"Q96QF0","RAB3IP",17
"Q9H9H4","VPS37B",17
"Q9UKD1","GMEB2",17
"Q9Y6A5","TACC3",17
"Q92692","NECTIN2",17
"P14859","POU2F1",17
"P55072","VCP",17
"Q9BVG3","TRIM62",17
"P62995","TRA2B",17
"O43809","NUDT21",17
"O60447","EVI5",17
"Q13555","CAMK2G",17
"Q99828","CIB1",17
"Q8IWR1","TRIM59",17
"Q8N987","NECAB1",17
"O00471","EXOC5",17
"P63165","SUMO1",17
"Q86U70","LDB1",17
"Q13561","DCTN2",17
"Q5XKE5","KRT79",17
"Q9UL33","TRAPPC2L",17
"O95125","ZNF202",17
"Q9NXR5","ANKRD10",17
"O43557","TNFSF14",17
"Q96BI3","APH1A",17
"Q8N2N9","ANKRD36B",17
"O43463","SUV39H1",17
"Q495M9","USH1G",17
"P48230","TM4SF4",17
"Q969K7","TMEM54",17
"Q9NRZ7","AGPAT3",17
"Q9NWB1","RBFOX1",17
"Q9BSL1","UBAC1",17
"Q68J44","DUSP29",17
"Q5T3J3","LRIF1",17
"O14925","TIMM23",17
"Q5T4F4","ZFYVE27",17
"Q13352","ITGB3BP",17
"Q6PEW1","ZCCHC12",17
"P05787","KRT8",17
"Q9C0B1","FTO",17
"Q13214","SEMA3B",17
"P57739","CLDN2",17
"O95436","SLC34A2",17
"P52815","MRPL12",17
"Q9BY27","DGCR6L",17
"Q8TAC9","SCAMP5",17
"Q7Z4W3","KRTAP19-3",17
"Q9H4E7","DEF6",17
"Q969T4","UBE2E3",17
"Q9BYG5","PARD6B",17
"Q7Z6J9","TSEN54",17
"Q8N2H4","SYS1",17
"Q9UGP5","POLL",17
"Q86YT5","SLC13A5",17
"Q9H0L4","CSTF2T",17
"Q8IVW4","CDKL3",17
"P18084","ITGB5",17
"Q9BS40","LXN",17
"Q9NQ94","A1CF",17
"Q6UX98","ZDHHC24",17
"Q9BXR6","CFHR5",17
"Q9Y3D6","FIS1",17
"Q9UHX3","ADGRE2",17
"Q6ZUI0","TPRG1",17
"Q99519","NEU1",17
"O14569","CYB561D2",17
"Q9HB19","PLEKHA2",16
"P63010","AP2B1",16
"P18848","ATF4",16
"P40425","PBX2",16
"P38432","COIL",16
"Q6AI39","BICRAL",16
"P61019","RAB2A",16
"O75506","HSBP1",16
"Q2NL98","VMAC",16
"P12814","ACTN1",16
"Q86UD4","ZNF329",16
"O43298","ZBTB43",16
"P32320","CDA",16
"P15976","GATA1",16
"Q9Y2H0","DLGAP4",16
"Q15427","SF3B4",16
"P0DJD3","RBMY1A1",16
"Q96Q35","FLACC1",16
"Q7Z3Y7","KRT28",16
"P02008","HBZ",16
"Q9BW62","KATNAL1",16
"Q9UIH9","KLF15",16
"Q86YM7","HOMER1",16
"P62140","PPP1CB",16
"O15197","EPHB6",16
"O43278","SPINT1",16
"Q5SYC1","CLVS2",16
"Q9UM44","HHLA2",16
"Q03060","CREM",16
"Q8NCU1",NA,16
"P49069","CAMLG",16
"P01189","POMC",16
"P62166","NCS1",16
"Q8IYX8","CEP57L1",16
"Q96AG4","LRRC59",16
"Q9UDX3","SEC14L4",16
"Q9UBY9","HSPB7",16
"P62195","PSMC5",16
"Q8IZR5","CMTM4",16
"P79522","PRR3",16
"Q9UJ78","ZMYM5",16
"P20138","CD33",16
"P62310","LSM3",16
"Q9UK41","VPS28",16
"Q53TN4","CYBRD1",16
"Q8NFU1","BEST2",16
"Q8N5I4","DHRSX",16
"Q7Z7F0","KHDC4",16
"Q9NX76","CMTM6",16
"P26951","IL3RA",16
"Q53GL0","PLEKHO1",16
"O14684","PTGES",16
"Q68DC2","ANKS6",16
"Q92753",NA,16
"Q12824","SMARCB1",16
"Q9NWS0","PIH1D1",16
"A8K8V0","ZNF785",16
"Q5T6S3","PHF19",16
"P78383","SLC35B1",16
"P28062","PSMB8",16
"Q13882","PTK6",16
"Q96KP6","TNIP3",16
"Q96CM8","ACSF2",16
"Q9Y2K5","R3HDM2",16
"Q63HK5","TSHZ3",16
"Q99640","PKMYT1",16
"O75425","MOSPD3",16
"Q9BW85","YJU2",16
"Q9H2S6","TNMD",16
"Q9BYJ9","YTHDF1",16
"Q9HAT8","PELI2",16
"Q6VB84","FOXD4L3",16
"O75084","FZD7",16
"Q8TCT0","CERK",16
"Q92982","NINJ1",16
"Q8N3T1","GALNT15",16
"Q8N6G5","CSGALNACT2",16
"Q9BV81","EMC6",16
"Q8TC57","M1AP",15
"P13646","KRT13",15
"Q13490","BIRC2",15
"P49585","PCYT1A",15
"O94972","TRIM37",15
"Q01196","RUNX1",15
"P30281","CCND3",15
"O96014","WNT11",15
"Q92805","GOLGA1",15
"Q9HD26","GOPC",15
"Q9NPJ6","MED4",15
"Q9UHX1","PUF60",15
"Q9BQD3","KXD1",15
"P35609","ACTN2",15
"Q13829","TNFAIP1",15
"P05783","KRT18",15
"Q9H3R5","CENPH",15
"Q9Y242","TCF19",15
"Q9UH92","MLX",15
"O00154","ACOT7",15
"Q96KQ7","EHMT2",15
"O43309",NA,15
"Q9BUL9","RPP25",15
"Q8NEG0","GARIN6",15
"P23511","NFYA",15
"Q9NWF9","RNF216",15
"O60684","KPNA6",15
"Q8N9E0","FAM133A",15
"Q9UGU5","HMGXB4",15
"Q15669","RHOH",15
"Q9BQD7","ANTKMT",15
"Q494R4","CCDC153",15
"P54619","PRKAG1",15
"Q4LEZ3","AARD",15
"Q8IWL8","STH",15
"Q9BSE4","HERPUD2",15
"Q02535","ID3",15
"Q9UK58","CCNL1",15
"Q86UU5","GGN",15
"P0CG48","UBC",15
"Q8TAD8","SNIP1",15
"P17027","ZNF23",15
"Q9BYD5","CNFN",15
"Q8TBB0","THAP6",15
"P30040","ERP29",15
"Q96LR5","UBE2E2",15
"Q9H7V2","SYNDIG1",15
"P18859","ATP5PF",15
"Q96FJ0","STAMBPL1",15
"Q13360","ZNF177",15
"Q6UW68","TMEM205",15
"Q14CN4","KRT72",15
"Q9Y676","MRPS18B",15
"Q6UXG8","BTNL9",15
"P34981","TRHR",15
"Q9Y624","F11R",15
"Q3SXR2",NA,15
"P03973","SLPI",15
"Q96IK0","TMEM101",15
"Q15696","ZRSR2",15
"Q96Q80","DERL3",15
"P57054","PIGP",15
"Q9Y225","RNF24",15
"Q9NX63","CHCHD3",15
"Q9BWC9","CCDC106",15
"Q8WWV3","RTN4IP1",15
"Q13618","CUL3",15
"P55771","PAX9",15
"Q8WTX9","ZDHHC1",15
"Q9Y6H1","CHCHD2",15
"P53367","ARFIP1",15
"Q86Y33","CDC20B",15
"Q6P158","DHX57",15
"P98175","RBM10",15
"O60548","FOXD2",15
"Q0D2K0","NIPAL4",15
"O14493","CLDN4",15
"Q06432","CACNG1",15
"P37268","FDFT1",15
"Q9BVC6","TMEM109",15
"Q9UBP5","HEY2",15
"Q86UP2","KTN1",15
"P62333","PSMC6",14
"O43865","AHCYL1",14
"P98170","XIAP",14
"O60806","TBX19",14
"Q719H9","KCTD1",14
"P49247","RPIA",14
"Q9Y333","LSM2",14
"Q96FJ2","DYNLL2",14
"Q9UBR2","CTSZ",14
"Q9BYM8","RBCK1",14
"Q9NQZ6","ZC4H2",14
"P43358","MAGEA4",14
"P07510","CHRNG",14
"Q16585","SGCB",14
"O75886","STAM2",14
"Q96QG7","MTMR9",14
"Q9P286","PAK5",14
"Q9UKI8","TLK1",14
"Q05519","SRSF11",14
"P78563","ADARB1",14
"Q8WZ19","KCTD13",14
"Q9UFD9","RIMBP3",14
"A1L4H1","SSC5D",14
"P23025","XPA",14
"P78362","SRPK2",14
"P57052","RBM11",14
"P24278","ZBTB25",14
"O43281","EFS",14
"Q9UPT5","EXOC7",14
"Q6AZZ1","TRIM68",14
"Q99990","VGLL1",14
"Q9UBD6","RHCG",14
"Q6NVV7","CDPF1",14
"Q13322","GRB10",14
"P62987","UBA52",14
"P42772","CDKN2B",14
"O15049","N4BP3",14
"Q6ZMJ2","SCARA5",14
"Q96N16","JAKMIP1",14
"A6NJ78","METTL15",14
"Q9BTY2","FUCA2",14
"Q96MU7","YTHDC1",14
"Q15007","WTAP",14
"Q5MJ09","SPANXN3",14
"O15342","ATP6V0E1",14
"Q6GPH4","XAF1",14
"Q96DV4","MRPL38",14
"Q8WY98","TMEM234",14
"Q6MZQ0","PRR5L",14
"Q86YR5","GPSM1",14
"Q04637","EIF4G1",14
"Q15800","MSMO1",14
"Q7Z5B4","RIC3",14
"Q5T871","LELP1",14
"Q6WN34","CHRDL2",14
"Q9BXW4","MAP1LC3C",14
"Q9HC36","MRM3",14
"Q96AN5","TMEM143",14
"Q71RG4","TMUB2",14
"Q9BRJ7","NUDT16L1",14
"Q8WYH8","ING5",14
"Q96AG3","SLC25A46",14
"Q8N1N4","KRT78",14
"Q9H6Z9","EGLN3",14
"Q9UBH0","IL36RN",14
"O95167","NDUFA3",14
"Q12981","BNIP1",14
"Q7RTS7","KRT74",14
"Q9HCP6","HHATL",14
"Q9BRG1","VPS25",14
"Q9UHI7","SLC23A1",14
"Q8N7U7","TPRX1",14
"P46379","BAG6",14
"O43296","ZNF264",14
"Q9UMS0","NFU1",14
"Q9Y5E9","PCDHB14",14
"P31274","HOXC9",14
"Q9UKF7","PITPNC1",14
"O75177","SS18L1",14
"O15145","ARPC3",14
"P49759","CLK1",14
"Q9BSH4","TACO1",14
"Q13432","UNC119",14
"Q9UFG5","C19orf25",14
"Q8N8Y2","ATP6V0D2",14
"Q969E2","SCAMP4",14
"Q9H9B4","SFXN1",14
"Q9BVL2","NUP58",14
"P62952","BLCAP",14
"Q6ICL7","SLC35E4",14
"Q8N966","ZDHHC22",14
"P02652","APOA2",14
"Q96JF0","ST6GAL2",14
"Q06587","RING1",13
"P21333","FLNA",13
"Q6PF05","TTC23L",13
"Q9BV19","C1orf50",13
"O00635","TRIM38",13
"Q9BRX9","WDR83",13
"Q2KHM9","KIAA0753",13
"Q13185","CBX3",13
"Q96IV0","NGLY1",13
"Q9H668","STN1",13
"Q9NRY7","PLSCR2",13
"Q8N4B1","PHETA1",13
"Q86UD0","SAPCD2",13
"Q15555","MAPRE2",13
"O75791","GRAP2",13
"Q9Y6K9","IKBKG",13
"Q96FN4","CPNE2",13
"Q8TBN0","RAB3IL1",13
"A9UHW6","MIF4GD",13
"Q8WVV4","POF1B",13
"Q9UFW8","CGGBP1",13
"O00401","WASL",13
"P20807","CAPN3",13
"Q2KHN1","RNF151",13
"O14512","SOCS7",13
"Q96DT7","ZBTB10",13
"Q14749","GNMT",13
"Q7Z353","HDX",13
"P35638","DDIT3",13
"Q9UHC7","MKRN1",13
"Q8IVF2","AHNAK2",13
"P13647","KRT5",13
"O95721","SNAP29",13
"Q01081","U2AF1",13
"Q8NC01","CLEC1A",13
"Q8NDC0","MAPK1IP1L",13
"P48745","CCN3",13
"P15289","ARSA",13
"Q92915","FGF14",13
"P51692","STAT5B",13
"Q8N6S5","ARL6IP6",13
"Q02747","GUCA2A",13
"Q07108","CD69",13
"Q9BXS9","SLC26A6",13
"Q96PV0","SYNGAP1",13
"Q8IW40","CCDC103",13
"Q9HD42","CHMP1A",13
"Q9BSH5","HDHD3",13
"Q9BXL8","CDCA4",13
"O95988","TCL1B",13
"Q96JQ5","MS4A4A",13
"Q9Y666","SLC12A7",13
"Q6ZP80","TMEM182",13
"O95563","MPC2",13
"Q96PC2","IP6K3",13
"Q16740","CLPP",13
"Q9NV39",NA,13
"Q8NDP4","ZNF439",13
"P61964","WDR5",13
"Q6ZU52","KIAA0408",13
"P35268","RPL22",13
"Q9ULV0","MYO5B",13
"P98179","RBM3",13
"Q8WV92","MITD1",13
"Q8WVP5","TNFAIP8L1",13
"Q86WH2","RASSF3",13
"Q6IBW4","NCAPH2",13
"Q9NYP7","ELOVL5",13
"Q13571","LAPTM5",13
"O43761","SYNGR3",13
"O14863","SLC30A4",13
"Q6Q788","APOA5",13
"Q86T13","CLEC14A",13
"Q8NB15","ZNF511",13
"O60669","SLC16A7",13
"Q9H0X6","RNF208",13
"Q5SQQ9","VAX1",13
"O15116","LSM1",13
"Q5HYJ3","FAM76B",13
"Q13084","MRPL28",13
"O14843","FFAR3",13
"P47224","RABIF",13
"P21579","SYT1",13
"Q96PQ1","SIGLEC12",13
"O95863","SNAI1",13
"A2A2V5","SERTM1",13
"P16118","PFKFB1",13
"P21854","CD72",13
"P84074","HPCA",13
"Q8TC71","SPATA18",13
"O43602","DCX",13
"Q9BRU9","UTP23",13
"P54727","RAD23B",13
"Q15735","INPP5J",13
"Q96RF0","SNX18",13
"Q6NUJ2","C11orf87",13
"Q5SQN1","SNAP47",13
"P18075","BMP7",13
"O94964","SOGA1",13
"Q9Y5L0","TNPO3",13
"Q9H1Y0","ATG5",13
"O00264","PGRMC1",13
"O75355","ENTPD3",13
"Q8N511","TMEM199",13
"Q9BQB6","VKORC1",13
"P30536","TSPO",13
"Q14508","WFDC2",13
"Q14656","TMEM187",13
"Q86VI4","LAPTM4B",13
"O00291","HIP1",12
"O14744","PRMT5",12
"O15353","FOXN1",12
"P07101","TH",12
"Q9HAN9","NMNAT1",12
"Q9Y5P4","CERT1",12
"Q8NFF5","FLAD1",12
"Q09470","KCNA1",12
"Q15700","DLG2",12
"Q9NRG1","PRTFDC1",12
"Q969G9","NKD1",12
"Q96R06","SPAG5",12
"Q9BV90","SNRNP25",12
"Q92622","RUBCN",12
"Q9BZL4","PPP1R12C",12
"Q9P127","LUZP4",12
"Q8TD17","ZNF398",12
"Q96AE4","FUBP1",12
"Q8N137","CNTROB",12
"Q6PIF2","SYCE2",12
"O75569","PRKRA",12
"Q6RVD6",NA,12
"Q96PQ6","ZNF317",12
"Q9Y2D8","SSX2IP",12
"Q15428","SF3A2",12
"Q8IX19","MCEMP1",12
"P49366","DHPS",12
"Q9UH03","SEPTIN3",12
"Q9H4P4","RNF41",12
"Q14919","DRAP1",12
"P62760","VSNL1",12
"Q13501","SQSTM1",12
"P07910","HNRNPC",12
"Q53QW1","TEX44",12
"Q8WTU0","DDI1",12
"P48775","TDO2",12
"Q9HAC8","UBTD1",12
"Q8TB40","ABHD4",12
"Q9NWX5","ASB6",12
"Q08209","PPP3CA",12
"Q8WYQ4","C22orf15",12
"Q969H8","MYDGF",12
"Q8WXK1","ASB15",12
"Q12888","TP53BP1",12
"O43257","ZNHIT1",12
"A2A2Y4","FRMD3",12
"P10745","RBP3",12
"Q2I0M5","RSPO4",12
"O60906","SMPD2",12
"Q969J2","ZKSCAN4",12
"Q9HDC5","JPH1",12
"Q99496","RNF2",12
"Q9BTD3","TMEM121",12
"O95447","LCA5L",12
"Q15699","ALX1",12
"Q9NQ30","ESM1",12
"Q9C004","SPRY4",12
"Q6PKX4","DOK6",12
"Q9NSB4","KRT82",12
"E9PQX1","TMEM262",12
"Q9UM19","HPCAL4",12
"Q9H169","STMN4",12
"Q86Y34","ADGRG3",12
"Q8IYJ2","C10orf67",12
"P36873","PPP1CC",12
"Q96RD7","PANX1",12
"Q9BU61","NDUFAF3",12
"Q96FV9","THOC1",12
"Q9HAP6","LIN7B",12
"Q96KM6","ZNF512B",12
"Q1MX18","INSC",12
"Q7L591","DOK3",12
"Q8WXK3","ASB13",12
"Q9P0T7","TMEM9",12
"Q9BTV4","TMEM43",12
"Q8TEB9","RHBDD1",12
"P52744","ZNF138",12
"P15336","ATF2",12
"Q13115","DUSP4",12
"Q8N5M4","TTC9C",12
"Q8TBK6","ZCCHC10",12
"Q68G75","LEMD1",12
"Q96DC9","OTUB2",12
"Q9ULW6","NAP1L2",12
"Q96N58","ZNF578",12
"A0PK11","CLRN2",12
"P61077","UBE2D3",12
"Q14498","RBM39",12
"Q01664","TFAP4",12
"O15273","TCAP",12
"Q2NKX9","C2orf68",12
"Q969G5","CAVIN3",12
"Q8IWX8","CHERP",12
"Q96B97","SH3KBP1",12
"Q9Y6W3","CAPN7",12
"Q9NPG2","NGB",12
"O43439","CBFA2T2",12
"Q9P121","NTM",12
"Q5SW96","LDLRAP1",12
"A6H8Z2","FAM221B",12
"P05107","ITGB2",12
"Q96GG9","DCUN1D1",12
"Q99895","CTRC",12
"Q96G04","EEF2KMT",12
"Q9P1Z0","ZBTB4",12
"O75400","PRPF40A",12
"P35680","HNF1B",12
"Q9UM22","EPDR1",12
"Q6W0C5","DPPA3",12
"O60568","PLOD3",12
"P17021","ZNF17",12
"Q96LZ7","RMDN2",12
"P35711","SOX5",12
"P50539","MXI1",12
"Q9BSU3","NAA11",12
"Q8NEK8","TENT5D",12
"P09466","PAEP",12
"Q9H0F5","RNF38",12
"Q03518","TAP1",12
"Q9NZ43","USE1",12
"O75920","SERF1A",12
"Q9UPZ6","THSD7A",12
"Q8TB61","SLC35B2",12
"Q9UFB7","ZBTB47",11
"P43243","MATR3",11
"Q86U10","ASPG",11
"Q96RE7","NACC1",11
"Q4G0X4","KCTD21",11
"P43357","MAGEA3",11
"Q9NP64","ZCCHC17",11
"A6NLX3","SPDYE4",11
"Q9NSD4",NA,11
"Q01105","SET",11
"O15060","ZBTB39",11
"O60711","LPXN",11
"Q8WUD1","RAB2B",11
"O60238","BNIP3L",11
"Q3MII6","TBC1D25",11
"Q8N4Y2","CRACR2B",11
"O15156","ZBTB7B",11
"Q5VSY0","GKAP1",11
"P26045","PTPN3",11
"P61457","PCBD1",11
"P04271","S100B",11
"P21580","TNFAIP3",11
"Q9H4Y5","GSTO2",11
"Q96CD2","PPCDC",11
"P23497","SP100",11
"Q8IZW8","TNS4",11
"O43805","SSNA1",11
"Q9UL41","PNMA3",11
"Q13158","FADD",11
"O14972","VPS26C",11
"Q15631","TSN",11
"O76041","NEBL",11
"P0C264","SBK3",11
"P02549","SPTA1",11
"Q92989","CLP1",11
"O75478","TADA2A",11
"Q8IYB1","MB21D2",11
"P15408","FOSL2",11
"Q8NBZ0","INO80E",11
"Q9NR46","SH3GLB2",11
"P01031","C5",11
"Q5T5P2","KIAA1217",11
"P62306","SNRPF",11
"Q8NAM6","ZSCAN4",11
"Q6PEY1","TMEM88",11
"O15243","LEPROT",11
"P16871","IL7R",11
"A8MV81","HIGD1C",11
"O15126","SCAMP1",11
"Q7L804","RAB11FIP2",11
"Q6ZMU5","TRIM72",11
"Q96FA3","PELI1",11
"Q53HC5","KLHL26",11
"P18825","ADRA2C",11
"Q96A25","TMEM106A",11
"Q96LC9","BMF",11
"Q9BZV1","UBXN6",11
"Q8N1L9","BATF2",11
"Q86WP2","GPBP1",11
"Q9NS71","GKN1",11
"Q9BZW4","TM6SF2",11
"P52306","RAP1GDS1",11
"P0CG47","UBB",11
"P07954","FH",11
"Q8WUU8","TMEM174",11
"Q15849","SLC14A2",11
"Q9NRW3","APOBEC3C",11
"P07951","TPM2",11
"P12318","FCGR2A",11
"Q9UM82","SPATA2",11
"Q9BUL8","PDCD10",11
"Q6BCY4","CYB5R2",11
"Q5JRM2","CXorf66",11
"O14893","GEMIN2",11
"O75459","PAGE1",11
"A4D161","FAM221A",11
"Q53HL2","CDCA8",11
"O75787","ATP6AP2",11
"Q9BZV2","SLC19A3",11
"Q96K19","RNF170",11
"P59910","DNAJB13",11
"Q8WUN7","UBTD2",11
"Q9BS34","ZNF670",11
"Q9UC07","ZNF69",11
"Q9HBT8","ZNF286A",11
"O94929","ABLIM3",11
"O75712","GJB3",11
"P22732","SLC2A5",11
"P63244","RACK1",11
"O60733","PLA2G6",11
"P10599","TXN",11
"Q7RTU4","BHLHA9",11
"Q9UL15","BAG5",11
"Q8WZ59","TMEM190",11
"Q9H305","CDIP1",11
"Q96HP8","TMEM176A",11
"P33176","KIF5B",11
"O75093","SLIT1",11
"P56470","LGALS4",11
"Q7L8S5","OTUD6A",11
"Q9NVN8","GNL3L",11
"Q00444","HOXC5",11
"Q9UQR1","ZNF148",11
"P48645","NMU",11
"Q99459","CDC5L",11
"Q8N0U8","VKORC1L1",11
"Q9Y316","MEMO1",11
"P78412","IRX6",11
"Q9P202","WHRN",11
"Q96GE4","CEP95",11
"Q4VC44","FLYWCH1",11
