"pubmedID","num_inter","n_proteins"
"7650013","1","2"
"7516469","7","6"
"11526478","1","2"
"23503679","71","72"
"11389892","3","4"
"9169439","5","6"
"25814554","634","411"
"9748231","1","2"
"11311138","1","2"
"10318860","1","2"
"7682714","1","2"
"9104825","2","3"
"15795233","1","2"
"10026222","1","2"
"11131153","1","2"
"11514608","3","4"
"9045636","8","9"
"22745667","54","55"
"12588871","4","5"
"11602604","6","7"
"14635045","2","3"
"11104670","2","3"
"9581808","2","3"
"9020138","8","7"
"12496276","3","4"
"9687533","8","8"
"10790433","16","13"
"9195899","4","5"
"9837776","3","4"
"11971018","1","2"
"11301322","3","4"
"11739737","7","8"
"11517336","1","2"
"8756631","7","7"
"10382761","5","6"
"12882960","1","2"
"10362357","3","4"
"11782428","4","4"
"12594225","2","3"
"20946164","13","7"
"10945997","7","8"
"10820378","3","3"
"10749872","2","3"
"10733577","5","6"
"12080089","4","4"
"1631061","5","5"
"11278640","3","3"
"16511568","9","5"
"7848298","4","4"
"10488148","4","3"
"8440710","5","4"
"21675959","24","18"
"20102225","134","33"
"25609649","3374","1987"
"12091339","2","3"
"8663380","1","2"
"8108109","2","3"
"10026157","1","2"
"9545246","2","3"
"10478848","2","3"
"24635384","22","23"
"1711157","2","3"
"8806810","1","2"
"11903046","1","2"
"21565167","4","5"
"10506225","1","2"
"16478997","3","4"
"17215518","3","4"
"8628277","9","8"
"10637231","1","2"
"19818398","3","4"
"18619508","3","4"
"1448082","1","2"
"11316804","1","2"
"9211894","1","2"
"8798722","1","2"
"16055710","9","8"
"7685215","2","3"
"9786917","3","4"
"2138276","2","3"
"9659924","4","5"
"10327051","7","6"
"17296604","4","5"
"15994313","2","3"
"8028671","2","3"
"18443043","6","6"
"9590210","3","4"
"9740800","1","2"
"15588985","42","48"
"12882840","2","3"
"11114375","2","3"
"11641401","4","4"
"11274169","4","4"
"10490649","2","3"
"11801649","1","2"
"10357819","3","4"
"10428834","5","6"
"8464713","1","2"
"10220381","7","6"
"11432833","1","2"
"29225075","3","4"
"8137421","2","3"
"15302935","8","12"
"8654373","11","8"
"8224842","1","2"
"16291755","12","14"
"14633987","14","9"
"9774977","6","8"
"12052834","2","3"
"11479302","4","6"
"8586671","3","4"
"9207092","6","7"
"16533805","12","10"
"10393177","1","2"
"19527717","3","4"
"18003900","3","5"
"16983342","3","4"
"16740711","2","3"
"10419510","4","5"
"15894542","3","3"
"22327296","10","8"
"16157600","3","5"
"11108663","2","3"
"14612408","2","3"
"9692890","3","4"
"12228228","5","6"
"19270716","9","10"
"15590691","4","7"
"9808624","6","8"
"20732415","7","8"
"14572659","2","4"
"18957422","3","6"
"16434970","3","5"
"12185592","1","2"
"15749833","7","7"
"15299005","5","6"
"10962563","5","7"
"9575168","3","4"
"20133937","3","6"
"14701799","1","2"
"15958389","5","7"
"14517282","2","4"
"18922473","3","5"
"8846788","5","6"
"16007099","6","5"
"17875713","10","7"
"17363973","8","9"
"13130464","6","4"
"22110360","2","4"
"16549498","3","4"
"10747973","3","4"
"17189706","6","7"
"16166642","3","4"
"16824735","3","4"
"12697749","3","6"
"19910486","9","12"
"18429822","5","7"
"15677475","3","5"
"12963725","4","6"
"8001819","2","3"
"11278395","6","6"
"23816567","3","5"
"11907583","9","7"
"15289320","1","2"
"14557262","5","8"
"10908726","2","4"
"10987838","1","2"
"10464310","9","11"
"25098452","6","8"
"12407442","1","2"
"22904686","7","9"
"9032244","2","4"
"12149229","4","5"
"9990010","3","5"
"12832416","1","2"
"15143066","2","4"
"9488446","2","3"
"11371641","5","5"
"20195357","938","724"
"11708771","2","3"
"9160889","5","5"
"26496610","15251","4509"
"11053448","3","3"
"10330159","2","3"
"1922387","4","5"
"11867732","10","6"
"15469925","1","2"
"10788439","4","4"
"11477071","5","6"
"12554755","1","2"
"9642216","3","3"
"10567404","19","16"
"10847592","12","11"
"11689449","2","2"
"11980644","2","3"
"12437352","1","2"
"21937452","7","8"
"14630807","3","4"
"21268080","1","2"
"24636898","4","3"
"24069158","3","4"
"12471036","5","6"
"27956703","3","3"
"9405416","3","5"
"8945519","3","4"
"10490605","4","5"
"8985011","1","2"
"12788955","9","10"
"9596579","8","9"
"11397794","3","3"
"8663478","1","2"
"9732876","2","3"
"10903323","2","3"
"11306568","6","7"
"21829441","2","3"
"11823437","3","4"
"8649793","1","2"
"14667575","1","2"
"8622660","2","3"
"1827203","6","6"
"20304822","1","2"
"23661758","186","38"
"11739718","1","2"
"19738058","1","2"
"12077347","14","8"
"8302594","2","3"
"14668352","3","3"
"11948398","3","4"
"12628923","22","10"
"10196196","7","7"
"11331585","3","4"
"20936779","687","490"
"11551904","4","5"
"8837781","2","3"
"10903862","26","10"
"10766246","3","4"
"20093369","2","3"
"12798298","1","2"
"10512690","2","3"
"9698370","1","2"
"8849841","1","2"
"12853483","1","2"
"11877416","1","2"
"8733011","2","3"
"11704680","4","5"
"10421840","3","4"
"9628874","15","16"
"8570175","6","6"
"15530430","2","3"
"8267879","1","2"
"7662174","1","2"
"9154808","3","4"
"18671972","12","12"
"10878360","3","4"
"12087103","1","2"
"2435303","1","2"
"9889198","2","3"
"8917518","2","3"
"14499865","1","2"
"19321746","3","5"
"8954125","2","3"
"18692475","7","14"
"21516116","1130","1111"
"29997244","148","205"
"8226889","1","2"
"9872330","6","6"
"16264271","4","5"
"10713367","1","2"
"12052862","2","4"
"8152431","2","2"
"21145461","4418","1656"
"1311327","1","2"
"10531362","16","8"
"16516194","5","5"
"7594592","3","4"
"8626664","1","2"
"10364157","5","6"
"12202480","3","3"
"10734131","1","2"
"9593745","2","3"
"11483597","3","3"
"10022840","1","2"
"12372320","1","2"
"11876253","1","2"
"18199118","18","11"
"7759598","1","2"
"2456771","1","2"
"11069979","2","3"
"11085981","3","4"
"21220103","1","2"
"11259487","6","4"
"8718849","2","3"
"8011628","1","2"
"12004055","1","2"
"15070904","2","2"
"11238441","7","6"
"11274154","1","2"
"10559945","1","2"
"12426310","1","2"
"10564661","5","5"
"21543335","2","3"
"22439934","2","3"
"24217340","1","2"
"24311597","2","3"
"27234298","16","17"
"10806483","4","5"
"17764085","1","2"
"10075717","1","2"
"17000779","2","3"
"9428387","4","5"
"9042371","2","3"
"10209959","3","4"
"9843199","4","5"
"12142027","1","2"
"29515120","3","4"
"10531062","4","5"
"15761153","411","196"
"12764135","10","6"
"25059663","6","7"
"17469184","5","5"
"10829039","1","2"
"11691834","8","5"
"18729074","97","68"
"16959829","3","4"
"12426322","5","5"
"22442258","6","5"
"12522145","40","19"
"11389444","3","4"
"8995445","6","5"
"8063801","3","3"
"10078535","2","2"
"15677445","7","5"
"17679095","1","1"
"17635922","1","1"
"10521482","2","2"
"22301280","4","4"
"22266821","4","4"
"12874286","3","3"
"23744067","2","2"
"25784557","2","2"
"29053960","4","4"
"17567543","4","3"
"22658747","2","3"
"21070942","4","3"
"15525470","7","6"
"11317942","2","3"
"10759471","1","2"
"8732755","2","3"
"11735417","1","2"
"9261179","1","2"
"22806587","1","2"
"12061819","3","3"
"9712732","1","2"
"9234717","5","6"
"17372230","2","3"
"12803489","3","3"
"16503409","7","7"
"12941616","4","5"
"12176909","1","2"
"8780698","2","3"
"10074432","2","3"
"8798643","5","5"
"11353765","3","3"
"9407100","1","2"
"10779765","1","2"
"9988730","1","2"
"8810341","5","6"
"12475393","3","3"
"11494134","3","3"
"15556646","5","6"
"20675402","18","10"
"9195915","2","3"
"19823681","4","5"
"10829062","6","7"
"16955467","3","4"
"14604282","3","3"
"19380743","632","265"
"14725908","5","4"
"8626543","5","6"
"9174058","5","5"
"8635998","1","2"
"17141222","1","2"
"18273061","10","11"
"11994282","4","5"
"17094785","4","5"
"16636290","18","18"
"22203672","4","5"
"15135048","4","4"
"19861161","3","3"
"11777909","1","2"
"26052821","1","2"
"8083187","2","3"
"10427990","5","5"
"7629518","1","2"
"9408950","1","2"
"10826882","1","2"
"8216224","1","2"
"11894095","8","6"
"12618476","6","5"
"11071869","7","7"
"11894096","10","9"
"12177062","6","6"
"11152963","4","4"
"10679202","1","2"
"15090612","12","11"
"15962011","5","5"
"15107835","9","9"
"12135478","2","2"
"16407834","4","4"
"15456872","7","5"
"20711168","4","4"
"19268472","2","3"
"20130058","1","2"
"14596919","3","4"
"17072306","8","10"
"17675467","2","3"
"19417776","1","2"
"21830225","2","3"
"16228008","4","4"
"19531213","105","106"
"22833562","4","5"
"22262777","2","3"
"25036637","1258","522"
"24167568","5","5"
"25472714","4","5"
"9857068","2","2"
"10540342","1","2"
"11742985","1","2"
"15577829","1","2"
"10570266","1","2"
"10617633","1","2"
"11042121","3","4"
"27614019","4","4"
"11313921","1","2"
"20940296","3","3"
"7517397","1","2"
"10204582","5","5"
"10372803","3","4"
"9851874","4","5"
"10967110","2","3"
"24287595","6","5"
"10570290","5","4"
"8662998","15","10"
"9461587","7","6"
"9434624","4","4"
"8950973","7","6"
"9541596","6","4"
"10025673","12","6"
"12504111","4","4"
"15668240","2","3"
"19880507","1","2"
"10449770","6","6"
"16327786","1","2"
"18193084","2","3"
"17237826","2","3"
"11149930","3","4"
"15128873","10","7"
"12771190","16","14"
"11032556","2","3"
"3490907","1","2"
"9716598","8","6"
"10477741","4","6"
"9590251","1","2"
"9162067","3","4"
"8621483","7","6"
"8978305","8","8"
"10907644","3","4"
"9820532","6","6"
"9344843","9","8"
"16982329","10","9"
"10657627","1","2"
"9129019","7","7"
"10608804","3","3"
"7545163","1","2"
"8524328","3","4"
"9311917","5","7"
"11399323","2","3"
"9988765","3","4"
"11263968","2","3"
"15358160","1","2"
"11553620","3","4"
"24886428","2","4"
"11053437","2","3"
"12234920","3","4"
"17974561","9","10"
"16893902","9","8"
"12815057","1","2"
"16246327","2","3"
"11983899","5","6"
"12593795","2","3"
"20124286","4","4"
"12593796","1","2"
"20461437","1","2"
"20877636","2","3"
"21596750","4","7"
"16479008","2","3"
"15004239","7","6"
"17255109","4","5"
"20622121","2","3"
"11713248","2","3"
"10514377","2","3"
"18632619","10","7"
"15117950","2","3"
"24113870","4","5"
"29643511","128","91"
"28791635","2","3"
"27609087","1","2"
"7629144","1","2"
"19190244","8","6"
"14676841","3","5"
"10734060","3","4"
"10811835","3","4"
"10966114","1","2"
"10531381","1","2"
"11278816","2","3"
"16735510","5","6"
"15062086","2","4"
"9635374","1","2"
"11067845","1","2"
"12559036","3","3"
"17020880","5","5"
"22706086","5","5"
"17188587","1","2"
"12672817","8","9"
"25872741","3","4"
"12175627","5","5"
"11001060","3","3"
"17548467","5","6"
"12024036","1","2"
"11891219","3","4"
"17353186","4","4"
"16623714","1","2"
"12527895","1","2"
"11696592","1","2"
"10068674","2","2"
"30024968","46","45"
"11997436","5","4"
"17944804","2","3"
"20038681","1","2"
"15159412","7","5"
"17880946","3","3"
"16429130","6","9"
"7713879","2","3"
"1400319","2","3"
"15451670","10","10"
"11786539","15","11"
"8939998","2","3"
"12473120","2","3"
"12221096","2","3"
"8816443","2","3"
"8662891","2","3"
"8543060","4","5"
"15069594","2","2"
"9748241","4","3"
"12071848","1","2"
"9635436","1","2"
"11284700","3","4"
"11350930","2","3"
"10051605","4","5"
"11998687","3","4"
"9582072","3","4"
"10854437","2","3"
"8769096","2","3"
"11689693","2","3"
"12773565","8","8"
"11162552","8","8"
"11909943","2","3"
"9446575","2","3"
"8571127","1","2"
"10619026","1","2"
"9535835","4","6"
"10066731","1","2"
"12654918","1","2"
"8798490","1","2"
"14660612","1","2"
"21281639","7","7"
"10948190","1","2"
"11149925","1","2"
"10489445","1","2"
"17353931","5794","1978"
"15659383","78","13"
"9490022","5","6"
"11368848","6","7"
"20711218","3","4"
"20628200","3","3"
"14749388","14","13"
"26719334","6","7"
"9354661","2","3"
"22939629","13323","2877"
"14506264","3","4"
"12593858","2","3"
"19805522","10","12"
"12879077","7","10"
"18256687","9","8"
"19944695","2","3"
"16630611","11","12"
"22621765","1","2"
"22705156","4","8"
"15075243","3","6"
"19696020","5","4"
"22693251","2","4"
"26825171","5","5"
"19147496","2","4"
"25150978","8","9"
"9407060","3","4"
"9535855","18","10"
"11311142","1","2"
"9565577","1","2"
"11435427","3","4"
"8910519","3","4"
"9121475","1","2"
"9548756","3","4"
"11927263","1","2"
"20660160","1","2"
"9799233","3","4"
"9113980","2","3"
"12423633","1","2"
"11696353","1","2"
"11335720","4","5"
"10947987","3","4"
"10523675","3","4"
"11373293","2","2"
"12515866","7","5"
"15364580","1","2"
"20300064","4","6"
"23405219","3","4"
"10526156","1","2"
"15530360","2","3"
"21988832","3502","2566"
"9614111","2","3"
"11672528","4","5"
"20856855","1","2"
"11779461","3","4"
"18218625","11","7"
"18162551","2","2"
"12221077","2","3"
"9857026","3","3"
"22072711","4","4"
"15023524","4","5"
"12093360","2","3"
"11948427","6","7"
"20709748","4","5"
"12766172","2","3"
"15670823","6","6"
"11085924","1","2"
"12006984","4","5"
"12432077","3","4"
"10702419","1","2"
"18421166","1","2"
"15184877","1","2"
"12359729","5","5"
"8185631","1","2"
"18062773","7","5"
"8195113","1","2"
"2808373","1","2"
"8663267","3","4"
"11375993","3","4"
"10835423","1","2"
"7592829","5","5"
"12526812","2","3"
"10593924","3","3"
"15802564","11","8"
"11856312","3","3"
"12023275","1","2"
"25681634","5","6"
"7921229","1","2"
"10698266","1","2"
"7539415","1","2"
"9738469","1","1"
"10037747","6","7"
"11380615","1","2"
"12200151","1","2"
"11700324","3","3"
"14603255","1","2"
"10908331","1","2"
"14561758","1","2"
"9731536","2","3"
"11423130","4","4"
"8573092","1","2"
"10022910","2","2"
"11781241","1","2"
"12054881","2","4"
"10748034","1","2"
"11799127","3","3"
"12153506","2","2"
"10811620","1","2"
"12441357","1","2"
"14970209","2","3"
"14623893","1","2"
"14531730","1","2"
"17373667","6","7"
"9334314","3","3"
"11036080","8","8"
"10662590","3","4"
"2093478","3","4"
"10869562","1","2"
"1870127","1","2"
"15358174","2","3"
"15221015","19","10"
"9405673","1","1"
"9067613","1","1"
"10809774","1","1"
"18923394","2","2"
"9108031","2","3"
"11278902","21","18"
"9482662","1","2"
"7908906","2","3"
"8101826","3","4"
"7903056","4","5"
"8490963","1","2"
"11126356","3","3"
"21242975","4","5"
"15485920","7","8"
"11593423","2","3"
"8647086","12","9"
"9178893","9","7"
"10491434","4","5"
"8867812","5","6"
"12676926","10","8"
"9190208","6","7"
"9003781","3","4"
"10486249","9","10"
"8662825","14","11"
"9139732","5","6"
"9823309","4","4"
"10850422","3","4"
"9926939","1","2"
"10344732","1","2"
"15558026","2","3"
"16461912","2","3"
"9837900","4","4"
"1315572","1","2"
"7478582","5","6"
"10908655","3","3"
"17254966","10","10"
"11360184","10","6"
"9106657","7","6"
"15695403","6","7"
"8978686","7","6"
"19556892","3","6"
"11940657","10","7"
"9311993","5","6"
"12036906","2","3"
"17053782","4","5"
"19767775","7","9"
"10645009","1","2"
"8058338","1","2"
"9832502","2","3"
"11788592","2","3"
"15951563","6","6"
"11739795","2","3"
"15232106","124","30"
"17517622","6","8"
"19075005","2","3"
"10580009","6","5"
"14681455","229","241"
"17420273","4","5"
"24855949","24","20"
"11160398","4","6"
"14641107","4","5"
"9832503","1","2"
"10910956","1","2"
"10801854","2","3"
"10318892","1","2"
"11311237","4","5"
"12048199","3","4"
"20484017","2","3"
"15713663","3","4"
"10500095","3","4"
"8887674","3","4"
"10581175","5","6"
"10974350","1","2"
"11042687","7","7"
"12075354","2","3"
"8753751","1","2"
"8683730","1","2"
"12504010","1","2"
"11401507","1","2"
"8292612","1","2"
"7738346","2","3"
"3800906","1","2"
"11927130","1","2"
"7238875","1","2"
"15311269","1","2"
"11500511","1","2"
"11381133","1","2"
"11133832","1","2"
"12213826","3","3"
"17055437","8","8"
"16828748","3","3"
"19201886","3","3"
"18802093","4","5"
"19297616","3","2"
"26789246","1","2"
"9545232","1","2"
"11823531","7","5"
"11884415","6","5"
"8530412","1","2"
"9139723","2","3"
"9837933","1","2"
"10574929","1","2"
"7592789","3","4"
"12706117","1","2"
"10753751","1","2"
"10893222","2","3"
"11751901","1","2"
"10681511","2","3"
"10837480","6","5"
"10551832","6","3"
"12176987","1","2"
"12138085","1","2"
"16475831","1","2"
"11453642","1","2"
"10777694","3","4"
"11883941","4","5"
"10704444","13","14"
"21102411","3","4"
"14709540","7","8"
"10187842","2","3"
"10195690","1","2"
"7760852","4","5"
"12562861","1","2"
"22205725","9","6"
"15888456","14","9"
"23711995","2","3"
"11845213","2","2"
"19955185","4","5"
"10336495","4","5"
"18292238","1","2"
"15870285","7","6"
"11903058","5","6"
"21775429","11","8"
"8910358","2","3"
"10903152","12","11"
"10022764","3","4"
"9626662","5","6"
"9407140","2","3"
"10731636","6","7"
"12163133","2","3"
"18797151","2","3"
"9653119","12","10"
"10669761","1","2"
"9627117","4","5"
"10872826","14","9"
"8621574","2","3"
"11279064","2","3"
"16717153","1","2"
"12482853","2","3"
"10786636","5","6"
"12189208","1","2"
"9795230","6","6"
"11287646","1","2"
"11331285","3","4"
"2394752","2","3"
"11369779","3","4"
"12009023","1","2"
"11938765","1","2"
"11278620","1","2"
"12616539","2","3"
"8139559","2","2"
"7522165","2","2"
"8294442","4","4"
"11337495","2","2"
"10697503","2","3"
"1372092","1","2"
"7486683","6","6"
"8670861","1","2"
"11710529","1","2"
"8564419","1","2"
"10752619","2","4"
"7692233","2","3"
"9153411","1","2"
"8382612","2","3"
"7680644","2","3"
"7536927","1","2"
"11896612","4","7"
"1330535","2","3"
"1314164","2","3"
"15377662","3","4"
"16135792","10","11"
"19864249","1","2"
"9774384","1","2"
"9801792","1","2"
"9918857","4","5"
"9361008","2","3"
"9886492","4","5"
"11593409","1","2"
"16371368","7","6"
"10962556","2","3"
"12576672","10","7"
"8901634","5","5"
"11350981","3","3"
"27751915","5","6"
"10995743","1","2"
"16582619","13","14"
"14636574","3","4"
"8621607","1","2"
"7737275","2","3"
"7568038","1","2"
"10820259","5","6"
"7807015","2","3"
"8183372","1","2"
"8146197","1","2"
"9417079","1","2"
"7584133","2","3"
"11526404","4","5"
"18641334","3","4"
"8918688","1","2"
"12594831","3","4"
"8246987","6","5"
"10467411","7","7"
"10212255","1","2"
"9150145","4","5"
"8916957","1","2"
"12210743","1","2"
"10487518","2","3"
"19903481","2","3"
"23065768","7","6"
"23397142","67","49"
"24498420","30","29"
"11696366","1","2"
"12809501","1","2"
"10383151","1","2"
"11546794","7","9"
"10572067","8","5"
"20227043","3","4"
"21278786","7","5"
"21075308","7","7"
"22439932","6","5"
"9756944","13","10"
"9130710","4","6"
"15812817","2","3"
"18803287","1","2"
"11694521","1","2"
"20007781","1","2"
"9435577","4","4"
"10921882","3","4"
"20457601","6","5"
"15476827","2","2"
"12774123","4","5"
"12538575","1","2"
"11812000","1","2"
"10967104","1","2"
"10899172","11","11"
"11850823","1","2"
"9426281","1","2"
"10521483","6","6"
"11865050","2","2"
"7537362","4","5"
"10627473","1","2"
"10187839","5","6"
"16219545","6","7"
"7537361","1","2"
"19889638","8","6"
"7537275","1","2"
"8649427","7","8"
"10806474","4","5"
"10973983","1","2"
"11119718","3","4"
"12107746","2","3"
"9852124","3","4"
"8910607","2","3"
"9334184","2","3"
"21241768","4","4"
"15514089","6","6"
"19561084","4","4"
"23439647","3","5"
"12506011","5","6"
"10097090","1","2"
"15226435","12","10"
"9632636","9","10"
"7642542","3","4"
"25284480","11","7"
"10797305","1","2"
"11418612","5","6"
"12086876","1","2"
"8034624","2","3"
"7629060","3","4"
"10373529","2","3"
"11313349","1","2"
"8253717","2","3"
"14506720","3","4"
"10373416","1","2"
"9113989","10","10"
"22020336","2","3"
"21827948","1","2"
"10358930","1","2"
"20713702","2","3"
"27107012","740","417"
"10799562","1","2"
"11912194","7","8"
"10970851","1","2"
"11940581","2","3"
"16638574","1","2"
"8596638","3","4"
"9658397","3","4"
"10978177","2","3"
"9804835","4","5"
"23612964","3","4"
"11711534","3","4"
"10723796","1","2"
"19214185","26","14"
"15324660","341","249"
"11136977","2","3"
"11094073","9","9"
"10068651","4","5"
"11782427","5","6"
"11334882","3","4"
"10871282","9","8"
"16253990","4","5"
"14530346","9","9"
"11163197","3","4"
"11855827","4","5"
"11689561","1","2"
"9312149","1","2"
"15016818","2","3"
"11375989","4","5"
"1834641","3","4"
"21854986","5","4"
"8702949","2","4"
"11676480","3","4"
"14724584","4","4"
"10783161","13","9"
"8665852","2","3"
"24412244","621","106"
"12704201","2","3"
"9415396","3","4"
"22402981","11","7"
"7592797","3","4"
"9334213","2","3"
"10803462","1","2"
"11606067","1","2"
"1322130","4","5"
"12853467","6","7"
"15161933","383","282"
"14760703","37","38"
"10049744","1","2"
"6444721","3","2"
"11991719","3","4"
"10542297","1","2"
"8894274","2","3"
"9029147","5","6"
"12804600","5","6"
"9845327","1","2"
"3759968","1","2"
"9468536","1","2"
"12692302","2","3"
"12032137","5","4"
"7721806","2","3"
"9848887","2","4"
"2052621","1","2"
"8524272","1","2"
"8443409","2","3"
"15641795","1","2"
"1396585","1","2"
"22974441","37","32"
"9797459","4","6"
"23063561","2","3"
"10350061","5","5"
"7535778","2","2"
"7682895","4","4"
"7999363","1","2"
"15629145","2","3"
"24440983","2","3"
"7629168","6","5"
"8906806","4","4"
"10913276","1","2"
"10940929","4","4"
"9020117","7","7"
"8386518","1","2"
"9733772","1","2"
"9677371","2","3"
"95059042","1","2"
"18474601","2","3"
"10523853","1","2"
